route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
S59,YU_D6-Weekday,YU_D6-Weekday-099000_MISC_771,TOTTENVILLE,1,40087735,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-100500_S59_449,TOTTENVILLE,1,40087749,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-103500_MISC_765,TOTTENVILLE,1,40087793,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-105000_S59_447,TOTTENVILLE,1,40087743,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-106500_S59_450,TOTTENVILLE,1,40087769,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-109500_S59_448,TOTTENVILLE,1,40087754,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-111000_S59_442,TOTTENVILLE,1,40087753,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-112500_MISC_772,TOTTENVILLE,1,40087739,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-115500_S59_446,HYLAN BL,1,40087735,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-118500_MISC_778,HYLAN BL,1,40087752,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-121500_S59_450,HYLAN BL,1,40087769,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-124500_S59_449,HYLAN BL,1,40087753,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-127500_S59_446,HYLAN BL,1,40087735,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-130500_S59_447,HYLAN BL,1,40087752,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-133500_S59_449,HYLAN BL,1,40087753,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-136500_MISC_775,HYLAN BL,1,40087784,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-139500_S59_450,HYLAN BL,1,40087771,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-142500_S59_449,HYLAN BL,1,40087753,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-145500_MISC_780,HYLAN BL,1,40087784,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-152500_S59_448,HYLAN BL,1,40087770,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-027500_MISC_701,PORT RICHMOND,0,40087748,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-031000_S59_435,PORT RICHMOND,0,40087755,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-033500_MISC_703,PORT RICHMOND,0,40087744,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-035500_S59_437,PORT RICHMOND,0,40087750,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-037000_S59_440,PORT RICHMOND,0,40087740,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-037500_S59_436,PORT RICHMOND,0,40087752,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-039500_MISC_701,PORT RICHMOND,0,40087748,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-041500_S59_438,PORT RICHMOND,0,40087743,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-043000_S59_435,PORT RICHMOND,0,40087755,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-044500_MISC_703,PORT RICHMOND,0,40087744,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-048000_MISC_757,PORT RICHMOND,0,40087792,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-050000_S59_440,PORT RICHMOND,0,40087740,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-052000_MISC_745,PORT RICHMOND,0,40087749,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-054000_S59_436,PORT RICHMOND,0,40087752,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-056000_S59_444,PORT RICHMOND,0,40087751,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-058000_S59_438,PORT RICHMOND,0,40087743,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-061600_S59_435,PORT RICHMOND,0,40087756,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-063600_S59_443,PORT RICHMOND,0,40087740,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-065600_S59_436,PORT RICHMOND,0,40087749,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-067600_S59_437,PORT RICHMOND,0,40087752,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-069600_MISC_727,PORT RICHMOND,0,40087751,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-071600_S59_441,PORT RICHMOND,0,40087743,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-073600_S4494_412,PORT RICHMOND,0,40087800,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-075600_MISC_702,PORT RICHMOND,0,40087740,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-077600_S59_439,PORT RICHMOND,0,40087749,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-079500_S59_440,PORT RICHMOND,0,40087752,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-083400_S59_445,PORT RICHMOND,0,40087743,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-083500_MISC_763,PORT RICHMOND,0,40087754,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-089500_S59_443,PORT RICHMOND,0,40087740,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-091000_MISC_771,PORT RICHMOND,0,40087735,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-095500_MISC_765,PORT RICHMOND,0,40087793,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-100000_S59_445,PORT RICHMOND,0,40087742,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-101500_S59_448,PORT RICHMOND,0,40087754,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-108000_S59_444,PORT RICHMOND,0,40087735,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-110000_MISC_778,PORT RICHMOND,0,40087752,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-112000_S59_447,PORT RICHMOND,0,40087743,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-114000_S59_450,PORT RICHMOND,0,40087769,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-116000_S59_445,PORT RICHMOND,0,40087742,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-123700_MISC_778,PORT RICHMOND,0,40087752,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-126300_S59_450,PORT RICHMOND,0,40087769,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-129200_S59_449,PORT RICHMOND,0,40087753,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-132000_MISC_775,PORT RICHMOND,0,40087784,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-135000_S59_447,PORT RICHMOND,0,40087752,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-138000_S59_449,PORT RICHMOND,0,40087753,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-141000_MISC_775,PORT RICHMOND,0,40087784,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-147000_S59_448,PORT RICHMOND,0,40087770,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-086500_S59_438,PORT RICHMOND,0,40087745,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-088000_S4494_412,PORT RICHMOND,0,40087800,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-094000_S59_440,PORT RICHMOND,0,40087752,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-097000_S59_447,PORT RICHMOND,0,40087743,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-106000_S59_443,PORT RICHMOND,0,40087740,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-104500_MISC_772,PORT RICHMOND,0,40087739,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-102000_MISC_778,TOTTENVILLE,1,40087752,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-108000_S59_445,TOTTENVILLE,1,40087742,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-085000_S59_442,PORT RICHMOND,0,40087753,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-117700_S59_449,PORT RICHMOND,0,40087753,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-121700_S59_446,PORT RICHMOND,0,40087735,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-081400_MISC_761,PORT RICHMOND,0,40087751,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-040700_S59_442,TOTTENVILLE,1,40087741,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-046000_S59_441,PORT RICHMOND,0,40087756,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-092500_S59_439,PORT RICHMOND,0,40087749,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-098500_S59_446,PORT RICHMOND,0,40087738,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-096000_MISC_772,TOTTENVILLE,1,40087739,S590066
S59,YU_D6-Weekday,YU_D6-Weekday-103000_S59_442,PORT RICHMOND,0,40087753,S590065
S59,YU_D6-Weekday,YU_D6-Weekday-030200_S59_437,HYLAN BL,1,40087750,S590064
S59,YU_D6-Weekday,YU_D6-Weekday-148500_S59_450,HYLAN BL,1,40087771,S590063
S59,YU_D6-Weekday,YU_D6-Weekday-150000_MISC_780,PORT RICHMOND,0,40087784,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-144000_S59_450,PORT RICHMOND,0,40087771,S590062
S59,YU_D6-Weekday,YU_D6-Weekday-025500_S59_435,HYLAN BL,1,40087755,S590064
S59,YU_D6-Weekday,YU_D6-Weekday-028500_MISC_703,HYLAN BL,1,40087744,S590064
S89,YU_D6-Weekday,YU_D6-Weekday-034000_S89_496,LIMITED BAYONNE 34 ST-HBLR STA via RICH,0,40087759,S890015
S89,YU_D6-Weekday,YU_D6-Weekday-039500_S89_496,LIMITED ELTINGVILLE HYLAN BL via RCHMOND,1,40087759,S890016
S89,YU_D6-Weekday,YU_D6-Weekday-039000_S89_499,LIMITED BAYONNE 34 ST-HBLR STA via RICH,0,40087773,S890015
S89,YU_D6-Weekday,YU_D6-Weekday-104500_S89_499,LIMITED BAYONNE 34 ST-HBLR STA via RICH,0,40087758,S890015
S89,YU_D6-Weekday,YU_D6-Weekday-035500_S89_497,LIMITED BAYONNE 34 ST-HBLR STA via RICH,0,40087761,S890015
S89,YU_D6-Weekday,YU_D6-Weekday-101500_S89_496,LIMITED BAYONNE 34 ST-HBLR STA via RICH,0,40087762,S890015
S89,YU_D6-Weekday,YU_D6-Weekday-037500_S89_498,LIMITED BAYONNE 34 ST-HBLR STA via RICH,0,40087766,S890015
