route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q33,LGPD6-LG_D6-Saturday-04,47371163-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484998,Q330209
Q33,LGPD6-LG_D6-Saturday-04,47371164-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484998,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371165-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484998,Q330209
Q49,LGPD6-LG_D6-Saturday-04,47371166-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484967,Q490175
Q33,LGPD6-LG_D6-Saturday-04,47371167-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484998,Q330198
Q49,LGPD6-LG_D6-Saturday-04,47371168-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484936,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371169-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484967,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371170-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484967,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371171-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484967,Q490179
Q33,LGPD6-LG_D6-Saturday-04,47371172-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8485007,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371173-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484978,Q330209
Q33,LGPD6-LG_D6-Saturday-04,47371174-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484978,Q330209
Q33,LGPD6-LG_D6-Saturday-04,47371175-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484978,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371176-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484961,Q330209
Q33,LGPD6-LG_D6-Saturday-04,47371177-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484961,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371178-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8485007,Q330209
Q103,LGPD6-LG_D6-Saturday-04,47371179-LGPD6-LG_D6-Saturday-04,"HUNTERS POINT CENTER BL",1,8485000,Q1030179
Q103,LGPD6-LG_D6-Saturday-04,47371180-LGPD6-LG_D6-Saturday-04,"ASTORIA",0,8485005,Q1030180
Q33,LGPD6-LG_D6-Saturday-04,47371181-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484978,Q330198
Q103,LGPD6-LG_D6-Saturday-04,47371182-LGPD6-LG_D6-Saturday-04,"HUNTERS POINT CENTER BL",1,8484968,Q1030179
Q103,LGPD6-LG_D6-Saturday-04,47371183-LGPD6-LG_D6-Saturday-04,"ASTORIA",0,8484969,Q1030180
Q103,LGPD6-LG_D6-Saturday-04,47371184-LGPD6-LG_D6-Saturday-04,"HUNTERS POINT CENTER BL",1,8485000,Q1030179
Q49,LGPD6-LG_D6-Saturday-04,47371185-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484893,Q490179
Q103,LGPD6-LG_D6-Saturday-04,47371186-LGPD6-LG_D6-Saturday-04,"ASTORIA",0,8485005,Q1030180
Q103,LGPD6-LG_D6-Saturday-04,47371187-LGPD6-LG_D6-Saturday-04,"HUNTERS POINT CENTER BL",1,8484968,Q1030179
Q103,LGPD6-LG_D6-Saturday-04,47371188-LGPD6-LG_D6-Saturday-04,"ASTORIA",0,8484969,Q1030180
Q49,LGPD6-LG_D6-Saturday-04,47371189-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484893,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371190-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484893,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371191-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484909,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371192-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484893,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371193-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484909,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371194-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484924,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371195-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484909,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371196-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484909,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371197-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484917,Q490175
